coluna_csv,item_detalhado,tipo_tecido
fraturas,Membros Superiores,Óssea
fraturas,Ombro,Óssea
fraturas,Clavícula,Óssea
fraturas,Úmero proximal,Óssea
fraturas,Escápula,Óssea
fraturas.1,Membros Superiores,Óssea
fraturas.1,Braço,Óssea
fraturas.1,Úmero diáfise,Óssea
fraturas.2,Membros Superiores,Óssea
fraturas.2,Cotovelo,Óssea
fraturas.2,Úmero distal,Óssea
fraturas.2,Cabeça do rádio,Óssea
fraturas.2,Olécrano,Óssea
fraturas.2,Ulna proximal,Óssea
fraturas.3,Membros Superiores,Óssea
fraturas.3,Antebraço,Óssea
fraturas.3,Rádio diáfise,Óssea
fraturas.3,Ulna diáfise,Óssea
fraturas.4,Membros Superiores,Óssea
fraturas.4,Punho,Óssea
fraturas.4,Rádio distal,Óssea
fraturas.4,Ulna distal,Óssea
fraturas.4,Escafoide,Óssea
fraturas.4,Semilunar,Óssea
fraturas.4,Piramidal,Óssea
fraturas.4,Capitato,Óssea
fraturas.4,Hamato,Óssea
fraturas.4,Trapézio,Óssea
fraturas.4,Trapezoide,Óssea
fraturas.4,Pisiforme,Óssea
fraturas.5,Membros Superiores,Óssea
fraturas.5,Mão,Óssea
fraturas.5,1°Metacarpo,Óssea
fraturas.5,2°Metacarpo,Óssea
fraturas.5,3°Metacarpo,Óssea
fraturas.5,4°Metacarpo,Óssea
fraturas.5,5°Metacarpo,Óssea
fraturas.6,Membros Superiores,Óssea
fraturas.6,Mão - dedos,Óssea
fraturas.6,Polegar - Falange proximal,Óssea
fraturas.6,Polegar - Falange distal,Óssea
fraturas.6,Indicador - Falange proximal,Óssea
fraturas.6,Indicador - Falange média,Óssea
fraturas.6,Indicador - Falange distal,Óssea
fraturas.6,Médio - Falange proximal,Óssea
fraturas.6,Médio - Falange média,Óssea
fraturas.6,Médio - Falange distal,Óssea
fraturas.6,Anelar - Falange proximal,Óssea
fraturas.6,Anelar - Falange média,Óssea
fraturas.6,Anelar - Falange distal,Óssea
fraturas.6,Mínimo - Falange proximal,Óssea
fraturas.6,Mínimo - Falange média,Óssea
fraturas.6,Mínimo - Falange distal,Óssea
fraturas.7,Coluna,Óssea
fraturas.7,Cervical,Óssea
fraturas.7,C1,Óssea
fraturas.7,C2,Óssea
fraturas.7,C3,Óssea
fraturas.7,C4,Óssea
fraturas.7,C5,Óssea
fraturas.7,C6,Óssea
fraturas.7,C7,Óssea
fraturas.8,Coluna,Óssea
fraturas.8,Torácica,Óssea
fraturas.8,T1,Óssea
fraturas.8,T2,Óssea
fraturas.8,T3,Óssea
fraturas.8,T4,Óssea
fraturas.8,T5,Óssea
fraturas.8,T6,Óssea
fraturas.8,T7,Óssea
fraturas.8,T8,Óssea
fraturas.8,T9,Óssea
fraturas.8,T10,Óssea
fraturas.8,T11,Óssea
fraturas.8,T12,Óssea
fraturas.9,Coluna,Óssea
fraturas.9,Lombar,Óssea
fraturas.9,L1,Óssea
fraturas.9,L2,Óssea
fraturas.9,L3,Óssea
fraturas.9,L4,Óssea
fraturas.9,L5,Óssea
fraturas.10,Coluna,Óssea
fraturas.10,Sacrococcígea,Óssea
fraturas.10,S1,Óssea
fraturas.10,S2,Óssea
fraturas.10,S3,Óssea
fraturas.10,S4,Óssea
fraturas.10,S5,Óssea
fraturas.10,Cóccix,Óssea
fraturas.11,Bacia,Óssea
fraturas.11,Bacia,Óssea
fraturas.11,Ilíaco,Óssea
fraturas.11,Ísquio,Óssea
fraturas.11,Púbico,Óssea
fraturas.12,Membros Inferiores,Óssea
fraturas.12,Quadril,Óssea
fraturas.12,Acetábulo,Óssea
fraturas.12,Fêmur proximal,Óssea
fraturas.13,Membros Inferiores,Óssea
fraturas.13,Coxa,Óssea
fraturas.13,Fêmur diáfise,Óssea
fraturas.14,Membros Inferiores,Óssea
fraturas.14,Joelho,Óssea
fraturas.14,Fêmur distal,Óssea
fraturas.14,Tíbia proximal,Óssea
fraturas.15,Membros Inferiores,Óssea
fraturas.15,Perna,Óssea
fraturas.15,Tíbia diáfise,Óssea
fraturas.15,Fíbula diáfise,Óssea
fraturas.15,Síndrome do estresse tibial medial,Óssea
fraturas.16,Membros Inferiores,Óssea
fraturas.16,Tornozelo,Óssea
fraturas.16,Tíbia distal,Óssea
fraturas.16,Fíbula distal,Óssea
fraturas.16,Maléolo lateral,Óssea
fraturas.16,Maléolo medial,Óssea
fraturas.16,Maléolo posterior,Óssea
fraturas.16,Tálus,Óssea
fraturas.17,Membros Inferiores,Óssea
fraturas.17,Pé,Óssea
fraturas.17,Calcâneo,Óssea
fraturas.17,Navicular,Óssea
fraturas.17,Cuboide,Óssea
fraturas.17,Cuneiforme medial,Óssea
fraturas.17,Cuneiforme intermédio,Óssea
fraturas.17,Cuneiforme lateral,Óssea
fraturas.17,1°Metatarso,Óssea
fraturas.17,2°Metatarso,Óssea
fraturas.17,3°Metatarso,Óssea
fraturas.17,4°Metatarso,Óssea
fraturas.17,5°Metatarso,Óssea
fraturas.18,Membros Inferiores,Óssea
fraturas.18,Pé - dedos,Óssea
fraturas.18,Hálux - Falange proximal,Óssea
fraturas.18,Hálux - Falange distal,Óssea
fraturas.18,Segundo - Falange proximal,Óssea
fraturas.18,Segundo - Falange média,Óssea
fraturas.18,Segundo - Falange distal,Óssea
fraturas.18,Terceiro - Falange proximal,Óssea
